                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3054,                 4.0224,                  2.263,                0.02414,                0.40794,                0.01972,                0.00615,                 2.3706,                 10.035,                 2.7758,             0.00055175,             0.00055175,             0.00055175
                      2,                 2.4257,                  4.153,                 2.3799,                0.04862,                0.23091,                0.02479,                0.00489,                  3.203,                 4.0571,                 3.9339,              0.0010526,              0.0010526,              0.0010526
                      3,                 2.3981,                 3.4879,                 2.4202,                0.00407,                0.19643,                0.00521,                0.00158,                 2.5233,                 28.747,                 3.1314,              0.0014984,              0.0014984,              0.0014984
                      4,                 2.6708,                  3.995,                 2.6166,                  0.004,                0.48892,                0.00437,                0.00154,                  3.132,                    inf,                  181.5,              0.0014195,              0.0014195,              0.0014195
                      5,                 2.6585,                 3.6073,                 2.7935,                0.00039,                0.01755,                 0.0002,                  9e-05,                 4.9704,                    inf,                 33.067,              0.0013369,              0.0013369,              0.0013369
                      6,                 2.4951,                 3.4531,                 2.6795,                0.00056,                0.04464,                0.00031,                  5e-05,                 4.0426,                    inf,                 55.553,              0.0012544,              0.0012544,              0.0012544
                      7,                 2.3938,                 3.1589,                 2.5862,                0.00573,                 0.1952,                0.00587,                0.00181,                 2.9748,                    inf,                 9.7907,              0.0011719,              0.0011719,              0.0011719
                      8,                 2.3508,                 3.0827,                 2.5345,                0.63302,                0.23214,                0.10436,                0.03436,                 2.3336,                 6.9703,                 2.7788,              0.0010894,              0.0010894,              0.0010894
                      9,                 2.3529,                 2.8792,                 2.4662,                0.10661,                  0.125,                0.05826,                0.02152,                 2.7278,                 5.8805,                 2.9538,              0.0010069,              0.0010069,              0.0010069
                     10,                 2.2634,                 2.8452,                 2.3772,                0.00398,                 0.3202,                0.00368,                0.00121,                 2.9043,                 683.56,                 5.4618,             0.00092435,             0.00092435,             0.00092435
                     11,                 2.2849,                 2.8774,                 2.3873,                0.00367,                0.42211,                0.00289,                0.00104,                 2.7717,                 76.747,                 3.5356,             0.00084184,             0.00084184,             0.00084184
                     12,                 2.2223,                 2.6042,                 2.3569,                0.00313,                0.20782,                0.00177,                 0.0008,                 3.6651,                 776.74,                 10.048,             0.00075932,             0.00075932,             0.00075932
                     13,                  2.189,                 2.4413,                 2.2447,                0.66925,                0.33036,                0.23208,                0.10269,                 2.0507,                 2.7791,                 2.2574,              0.0006768,              0.0006768,              0.0006768
                     14,                 2.0636,                 2.3372,                   2.19,                0.84555,                 0.2997,                0.39938,                0.16142,                 1.9407,                  2.063,                 2.1699,             0.00059429,             0.00059429,             0.00059429
                     15,                 2.0515,                 2.2471,                 2.2002,                0.34732,                0.34667,                0.32716,                0.13856,                 1.9616,                 2.2579,                 2.2294,             0.00051177,             0.00051177,             0.00051177
                     16,                 2.0555,                 2.2005,                 2.1506,                0.73732,                0.32143,                0.35605,                0.15052,                 1.9294,                 2.1854,                 2.1617,             0.00042925,             0.00042925,             0.00042925
                     17,                 2.0399,                  2.173,                 2.1365,                0.74431,                0.32143,                0.35816,                 0.1499,                 1.8848,                 2.1105,                 2.1133,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.9963,                 2.0947,                 2.1461,                0.35514,                0.44397,                0.38108,                0.17328,                 1.9676,                 2.1277,                 2.1835,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.9672,                 2.0743,                 2.1178,                0.34055,                 0.3553,                0.30378,                0.14222,                 1.9242,                 2.6654,                 2.1375,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.9163,                 2.0195,                 2.0506,                 0.3872,                0.42672,                0.36526,                0.16716,                 1.9149,                  2.225,                 2.1139,             9.9187e-05,             9.9187e-05,             9.9187e-05
